"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ABCC2","OK",0.186001121052406,0.892729138549708,0.0040373299111432,"ABCC2",0.203142816694368
"ABCC3","OK",0,58.9131160992685,0.295709219459363,"ABCC3",0
"ABCC4","OK",0,50.3800082457517,0.253018426586095,"ABCC4",0
"ABCC5","OK",6.2805115786493e-47,14.3385738381594,0.071789851487349,"ABCC5",1.60769643193125e-46
"ABCC6","OK",0.0321912186577527,1.84952225484643,0.00883711919624882,"ABCC6",0.0370699868036908
"ABCC6P1","OK",6.79110510168625e-06,4.35050864165634,0.0209919354415851,"ABCC6P1",9.22264923859526e-06
"ABCC6P2","OK",0.0359313859280516,1.79998648765024,0.00821694668511042,"ABCC6P2",0.0412631890166065
"ABCC8","OK",8.1095739838817e-314,37.8514298229431,0.189458946141692,"ABCC8",5.76126497292252e-313
"ABCC9","OK",0,44.010586308764,0.219305004915825,"ABCC9",0
"ABCD1","OK",4.65094651369612e-30,11.3301747887857,0.0566012240701872,"ABCD1",1.00319727225479e-29
"ABCD2","OK",1.5011203161261e-167,27.5640612255677,0.137491695288294,"ABCD2",7.22944161711959e-167
"ABCD3","OK",2.52158513094077e-161,27.0397375394878,0.135643805618102,"ABCD3",1.18839278399735e-160
"ABCD4","OK",7.59558617300462e-23,9.76969297688163,0.0488292157962106,"ABCD4",1.48189467595296e-22
"ABCE1","OK",6.80496970825675e-10,6.06002618082268,0.0301848784485981,"ABCE1",1.04062097820759e-09
"ABCF1","OK",8.59519448226553e-14,7.36900680364041,0.0367742024641159,"ABCF1",1.43898367010826e-13
"ABCF2","OK",7.20973967064021e-268,34.9469250699599,0.175421145843232,"ABCF2",4.63650043669173e-267
"ABCF3","OK",3.00177871437916e-12,6.87956506153971,0.0342923382229926,"ABCF3",4.85237395078287e-12
"ABCG1","OK",9.85593538888026e-215,31.253979419187,0.156857665150979,"ABCG1",5.49791695570871e-214
"ABCG2","OK",0,48.0322647078131,0.239448865678772,"ABCG2",0
"ABCG4","OK",1.74196851228725e-07,5.09518889516932,0.0244037177299672,"ABCG4",2.49599377732958e-07
"ABCG5","OK",0.660155539706117,-0.412887662582883,-0.0021482483583897,"ABCG5",0.674318590617571
"ABCG8","OK",4.47818082986719e-08,5.34671754660672,0.0247501746710754,"ABCG8",6.52512021948344e-08
"ABHD1","OK",0.70467705776216,-0.537900295410599,-0.00291546016339597,"ABHD1",0.71370328662479
"ABHD10","OK",4.64266428167726e-20,9.09700944281083,0.0453936925143122,"ABHD10",8.67828062203544e-20
"ABHD11","OK",4.02198657744254e-59,16.1712573724152,0.0810054090739827,"ABHD11",1.14054349426153e-58
"ABHD12","OK",1.33872746217771e-130,24.2871886755898,0.121883257556824,"ABHD12",5.63123205028149e-130
"ABHD12B","OK",0.00109280822784341,3.06377716005508,0.0150438103414834,"ABHD12B",0.00135989273014706
